vocabulary_id,concept_code,concept_name,concept_id,domain_id,rule
SNOMED,429626008,Assault by friend,4324900,Observation,assault.csv
SNOMED,429580005,Assault by legal official,4324895,Observation,assault.csv
SNOMED,428500001,Assault by unrelated care giver,4324056,Observation,assault.csv
SNOMED,248112004,Sexual battery,4093700,Observation,assault.csv
SNOMED,242880008,Assault by stabbing with knife,4055536,Observation,assault.csv
SNOMED,219178006,Homicide or assault by unarmed fight or brawl,437483,Observation,assault.csv
SNOMED,47193005,Murder of stranger,4264185,Observation,assault.csv
SNOMED,242958009,Attempted vaginal rape of female,4055770,Observation,assault.csv
SNOMED,242857000,Assault by caustic alkalies,4054787,Observation,assault.csv
SNOMED,219240001,Assault by criminal neglect,435165,Observation,assault.csv
SNOMED,242962003,Sexual assault with digital penetration of anus,4055228,Observation,assault.csv
SNOMED,242868000,Assault by high intensity noise,4055136,Observation,assault.csv
SNOMED,219235009,Assault by striking by blunt or thrown object,437187,Observation,assault.csv
SNOMED,242953000,Rape with vaginal intercourse,4055157,Observation,assault.csv
SNOMED,219239003,Assault by hot liquid,432538,Observation,assault.csv
SNOMED,248110007,Sexual assault,4093699,Observation,assault.csv
SNOMED,242967009,Sexual assault of female with touching of unclothed breast,4055229,Observation,assault.csv
SNOMED,242882000,Assault by stabbing with kitchen knife,4054793,Observation,assault.csv
SNOMED,242885003,Assault by stabbing with chisel,4073482,Observation,assault.csv
SNOMED,242881007,Assault by stabbing with pocket knife,4055141,Observation,assault.csv
SNOMED,242918007,Assault with strap,4073487,Observation,assault.csv
SNOMED,242932009,Assault by physical restraint with rope or cord,4055549,Observation,assault.csv
SNOMED,219231000,Assault by fire and burning,438051,Observation,assault.csv
SNOMED,242861006,Assault by poisoning with bleach,4073371,Observation,assault.csv
SNOMED,242928003,Assault by pushing into path of train,4055153,Observation,assault.csv
SNOMED,242884004,Assault by stabbing with screwdriver,4073481,Observation,assault.csv
SNOMED,242892008,Kick with foot,4055537,Observation,assault.csv
SNOMED,219241002,Abandonment of child with intent to injure or kill,4072205,Observation,assault.csv
SNOMED,20974000,Matricide,4051452,Observation,assault.csv
SNOMED,248111006,Rape - assault,438058,Observation,assault.csv
SNOMED,42310008,Judicial execution by firing squad,4172816,Observation,assault.csv
SNOMED,242904000,Scratched with fingernails,4055145,Observation,assault.csv
SNOMED,78672002,Judicial execution by gas chamber,4302889,Observation,assault.csv
SNOMED,242966000,Sexual assault on female with touching of unclothed vulva,4073495,Observation,assault.csv
SNOMED,49250007,Manslaughter,4176858,Observation,assault.csv
SNOMED,242957004,Attempted rape of female,4054917,Observation,assault.csv
SNOMED,219294006,Legal execution by hanging,4071300,Observation,assault.csv
SNOMED,242907007,Assault with stick,4055542,Observation,assault.csv
SNOMED,22439003,Forcible intercourse,4329985,Observation,assault.csv
SNOMED,242915005,Assault with flexible instrument,4055148,Observation,assault.csv
SNOMED,242952005,Sexual assault and rape,4054916,Observation,assault.csv
SNOMED,242963008,Sexual assault with penetration of vagina with foreign body,4054920,Observation,assault.csv
SNOMED,20757006,Judicial execution by hanging,4048299,Observation,assault.csv
SNOMED,242923007,Assault by striking with motor vehicle,438952,Observation,assault.csv
SNOMED,23791009,Judicial execution by guillotine,4029097,Observation,assault.csv
